NormT,Faxen
1.780603571247306061e+00,4.600061585154132148e-06
1.784297848551142041e+00,4.589595087161797410e-06
1.787992125854978243e+00,4.595202760667053183e-06
1.791686403158814445e+00,4.599464524372295782e-06
1.795380680462650647e+00,4.617139769109506080e-06
1.799074957766486627e+00,4.613870120301778377e-06
1.802769235070322829e+00,4.600626067108633091e-06
1.806463512374159031e+00,4.599163734074616717e-06
1.810157789677995233e+00,4.590924287689060526e-06
1.813852066981831435e+00,4.567148183353962201e-06
1.817546344285667415e+00,4.565428945914046611e-06
1.821240621589503617e+00,4.569759988908242064e-06
1.824934898893339819e+00,4.563997075003324951e-06
1.828629176197176021e+00,4.574473574816020590e-06
1.832323453501012223e+00,4.584274213429328646e-06
1.836017730804848203e+00,4.576759776367708593e-06
1.839712008108684405e+00,4.569210907587275986e-06
1.843406285412520607e+00,4.591240810163514413e-06
1.847100562716356809e+00,4.564095673050937948e-06
1.850794840020193011e+00,4.569371314593692753e-06
1.854489117324028991e+00,4.568296893587582954e-06
1.858183394627865193e+00,4.548805861863938402e-06
1.861877671931701395e+00,4.538928274857625662e-06
1.865571949235537597e+00,4.534654283113220607e-06
1.869266226539373577e+00,4.555102199282753840e-06
1.872960503843209779e+00,4.566399599090836602e-06
1.876654781147045981e+00,4.574980178673857186e-06
1.880349058450882183e+00,4.563535574741536786e-06
1.884043335754718385e+00,4.543321802084994119e-06
1.887737613058554365e+00,4.543591746554745089e-06
1.891431890362390567e+00,4.544087014580858716e-06
1.895126167666226769e+00,4.540187323395921864e-06
1.898820444970062971e+00,4.555469786808059405e-06
1.902514722273899173e+00,4.575114517365590085e-06
1.906208999577735153e+00,4.580693241977126596e-06
1.909903276881571355e+00,4.586697246860452516e-06
1.913597554185407557e+00,4.569247921532446497e-06
1.917291831489243759e+00,4.557006329013401899e-06
1.920986108793079739e+00,4.564597435653795513e-06
1.924680386096915941e+00,4.562345576647281905e-06
1.928374663400752143e+00,4.568766024592501013e-06
1.932068940704588345e+00,4.549690497502365475e-06
1.935763218008424547e+00,4.541047236998266499e-06
1.939457495312260527e+00,4.551379702465982060e-06
1.943151772616096729e+00,4.557552124764058201e-06
1.946846049919932931e+00,4.565770753802117833e-06
1.950540327223769133e+00,4.569879647264329799e-06
1.954234604527605335e+00,4.567769040287059516e-06
1.957928881831441315e+00,4.577416522913615672e-06
1.961623159135277517e+00,4.578296024115935773e-06
1.965317436439113719e+00,4.568951434067309911e-06
1.969011713742949921e+00,4.569830880813007695e-06
1.972705991046786123e+00,4.562247508632705752e-06
1.976400268350622103e+00,4.575754778149830337e-06
1.980094545654458305e+00,4.600667441098810421e-06
1.983788822958294507e+00,4.590371907377619965e-06
1.987483100262130709e+00,4.598669321208098740e-06
1.991177377565966689e+00,4.582046228074127989e-06
1.994871654869802891e+00,4.602585553541126354e-06
